text,sc_status,income,purpose,activity,project_cost,loan_required,education_level,course,course_type,course_recognized
I am an SC student and my family income is 2.9 lakh. I want to study MCA. My course fee is 1118370 rupees and I need a loan of 1118370 rupees.,Yes,289710,Education,NA,1118370,1118370,Postgraduate,MCA,medical,Yes
I do not belong to the SC category. My family income is Rs 481110 and I need a loan for a tailoring.,No,481110,Business,tailoring,152926,102926,NA,NA,NA,NA
I do not belong to the SC category. My family income is 4.0 lakh and I need a loan for a small manufacturing.,No,403021,Business,small manufacturing,176793,126793,NA,NA,NA,NA
I belong to Scheduled Caste and want to start a small service business. My income is 4.4 lakh and the project will cost about 3.4 lakhs.,Yes,444117,Business,service business,340389,278048,NA,NA,NA,NA
I want to open a service business. I am an SC beneficiary and my yearly family income is 250751 rupees. I require about 1.9 lakh.,Yes,250751,Business,service business,234972,188208,NA,NA,NA,NA
I am from Scheduled Caste and want financial assistance for my nursing course. My family income is 1.2 lakhs and I require 4.4 lakhs.,Yes,120153,Education,NA,2813611,442472,12th,nursing,medical,Yes
"My family earns 484634 rupees per year. I am an SC beneficiary and want to pursue medical, which is a management course. The fee is 2932400 rupees.",Yes,484634,Education,NA,2932400,846008,Postgraduate,medical,management,Yes
I am from SC category and want financial help for my repair shop. The total project cost is Rs 429925 and I need 367783 rupees as loan. My annual income is 1.5 lakhs.,Yes,148008,Business,repair shop,429925,367783,NA,NA,NA,NA
I am not an SC beneficiary. I want to start a transport and need 333548 rupees.,No,472156,Business,transport,383548,333548,NA,NA,NA,NA
I am an SC beneficiary. My family income is ₹141802. I want to start a small manufacturing business and need a loan of Rs 70633.,Yes,141802,Business,small manufacturing,88492,70633,NA,NA,NA,NA
"My family earns 182607 rupees per year. I am an SC beneficiary and want to pursue MBA, which is a management course. The fee is 3.7 lakh.",Yes,182607,Education,NA,366344,366344,12th,MBA,management,Yes
I am an SC beneficiary. My family income is 1.2 lakhs. I want to start a grocery shop business and need a loan of 3.7 lakh.,Yes,115180,Business,grocery shop,462415,369951,NA,NA,NA,NA
I do not belong to the SC category. My family income is 4.3 lakhs and I need a loan for a transport.,No,432397,Business,transport,263643,213643,NA,NA,NA,NA
My family earns around 440741 rupees per year. I belong to the SC community and want to start a poultry. I need around Rs 98412.,Yes,440741,Business,poultry,187594,98412,NA,NA,NA,NA
I belong to Scheduled Caste and want to start a small computer centre. My income is 259974 rupees and the project will cost about 1.2 lakhs.,Yes,259974,Business,computer centre,120616,83316,NA,NA,NA,NA
I am an SC beneficiary. My family income is 2.8 lakh. I want to start a tailoring business and need a loan of 437079 rupees.,Yes,277738,Business,tailoring,448142,437079,NA,NA,NA,NA
"I need a loan to study pharmacy. I am an SC student, my income is Rs 201859, and the course fee is ₹453417.",Yes,201859,Education,NA,453417,453417,Postgraduate,pharmacy,technical,Yes
I am not an SC beneficiary. I want to start a tailoring and need 2.6 lakh.,No,86055,Business,tailoring,306490,256490,NA,NA,NA,NA
I am from Scheduled Caste and want financial assistance for my medical course. My family income is 164354 rupees and I require ₹1169378.,Yes,164354,Education,NA,1169378,1169378,Graduate,medical,professional,Yes
I am from Scheduled Caste and want financial assistance for my pharmacy course. My family income is ₹484647 and I require 22.4 lakhs.,Yes,484647,Education,NA,2418732,2244598,Graduate,pharmacy,medical,Yes
I am from Scheduled Caste and want financial assistance for my law course. My family income is Rs 125190 and I require ₹844598.,Yes,125190,Education,NA,844598,844598,Graduate,law,professional,Yes
I am from Scheduled Caste and want financial assistance for my medical course. My family income is ₹445993 and I require 161923 rupees.,Yes,445993,Education,NA,2478620,161923,Postgraduate,medical,professional,Yes
I belong to the SC category. I want an education loan for engineering. My annual family income is 441201 rupees and I need around 1713675 rupees.,Yes,441201,Education,NA,1713675,1713675,Graduate,engineering,professional,Yes
"I need a loan to study MBA. I am an SC student, my income is 2.0 lakh, and the course fee is Rs 513880.",Yes,201045,Education,NA,513880,513880,12th,MBA,professional,Yes
I am from SC category and want financial help for my food business. The total project cost is Rs 160763 and I need 90279 rupees as loan. My annual income is Rs 130831.,Yes,130831,Business,food business,160763,90279,NA,NA,NA,NA
I am from SC category and want financial help for my grocery shop. The total project cost is Rs 493896 and I need 425447 rupees as loan. My annual income is 4.3 lakh.,Yes,433388,Business,grocery shop,493896,425447,NA,NA,NA,NA
I am not an SC beneficiary. I want to start a fisheries and need 133393 rupees.,No,315917,Business,fisheries,183393,133393,NA,NA,NA,NA
"I need a loan to study pharmacy. I am an SC student, my income is Rs 436117, and the course fee is ₹2848006.",Yes,436117,Education,NA,2848006,2219249,12th,pharmacy,management,Yes
My family earns around ₹446624 per year. I belong to the SC community and want to start a service business. I need around 365515 rupees.,Yes,446624,Business,service business,384269,365515,NA,NA,NA,NA
I am an SC student and my family income is 3.7 lakh. I want to study MCA. My course fee is 26.7 lakhs and I need a loan of 22.5 lakhs.,Yes,373667,Education,NA,2673540,2251351,Postgraduate,MCA,technical,Yes
I belong to the SC category. I want an education loan for BTech. My annual family income is 2.7 lakh and I need around 33.0 lakh.,Yes,273718,Education,NA,3301552,3301552,12th,BTech,medical,Yes
I am an SC beneficiary. My family income is Rs 326099. I want to start a repair shop business and need a loan of 3.0 lakhs.,Yes,326099,Business,repair shop,368717,300984,NA,NA,NA,NA
I am not an SC beneficiary. I want to start a tailoring and need 325506 rupees.,No,338139,Business,tailoring,375506,325506,NA,NA,NA,NA
I do not belong to the SC category. My family income is 3.9 lakh and I need a loan for a service business.,No,392270,Business,service business,189893,139893,NA,NA,NA,NA
I am an SC beneficiary. My family income is ₹322747. I want to start a repair shop business and need a loan of 403107 rupees.,Yes,322747,Business,repair shop,484468,403107,NA,NA,NA,NA
"I need a loan to study engineering. I am an SC student, my income is 3.6 lakh, and the course fee is 20.8 lakhs.",Yes,362645,Education,NA,2081118,2081118,Postgraduate,engineering,professional,Yes
I want to open a tailoring. I am an SC beneficiary and my yearly family income is Rs 340968. I require about 4.4 lakhs.,Yes,340968,Business,tailoring,501856,435576,NA,NA,NA,NA
I want to open a poultry. I am an SC beneficiary and my yearly family income is 2.2 lakhs. I require about Rs 173143.,Yes,216038,Business,poultry,228981,173143,NA,NA,NA,NA
I am not an SC beneficiary. I want to start a poultry and need 2.6 lakhs.,No,470228,Business,poultry,310775,260775,NA,NA,NA,NA
"I need a loan to study pharmacy. I am an SC student, my income is 1.7 lakh, and the course fee is 18.1 lakh.",Yes,165895,Education,NA,1814963,936237,Graduate,pharmacy,medical,Yes
"I need a loan to study pharmacy. I am an SC student, my income is ₹314590, and the course fee is ₹151299.",Yes,314590,Education,NA,151299,151299,Postgraduate,pharmacy,management,Yes
"My family earns 322682 rupees per year. I am an SC beneficiary and want to pursue medical, which is a medical course. The fee is Rs 3956689.",Yes,322682,Education,NA,3956689,2641711,12th,medical,medical,Yes
I am from SC category and want financial help for my grocery shop. The total project cost is 1.6 lakh and I need Rs 88801 as loan. My annual income is 355111 rupees.,Yes,355111,Business,grocery shop,159796,88801,NA,NA,NA,NA
I do not belong to the SC category. My family income is ₹171092 and I need a loan for a small manufacturing.,No,171092,Business,small manufacturing,243823,193823,NA,NA,NA,NA
"I need a loan to study BCA. I am an SC student, my income is Rs 150605, and the course fee is ₹757689.",Yes,150605,Education,NA,757689,757689,12th,BCA,professional,Yes
I belong to Scheduled Caste and want to start a small transport. My income is ₹281818 and the project will cost about Rs 296127.,Yes,281818,Business,transport,296127,256173,NA,NA,NA,NA
I want to open a transport. I am an SC beneficiary and my yearly family income is 2.0 lakh. I require about 4.0 lakhs.,Yes,204752,Business,transport,464074,396379,NA,NA,NA,NA
My family earns around 2.3 lakh per year. I belong to the SC community and want to start a service business. I need around 3.6 lakhs.,Yes,227971,Business,service business,423634,364671,NA,NA,NA,NA
I want to open a fisheries. I am an SC beneficiary and my yearly family income is Rs 412405. I require about ₹207205.,Yes,412405,Business,fisheries,267381,207205,NA,NA,NA,NA
I am an SC beneficiary. My family income is ₹153929. I want to start a repair shop business and need a loan of 244996 rupees.,Yes,153929,Business,repair shop,259804,244996,NA,NA,NA,NA
I belong to the SC category. I want an education loan for engineering. My annual family income is 2.7 lakhs and I need around 607387 rupees.,Yes,266663,Education,NA,607387,607387,Postgraduate,engineering,technical,Yes
I belong to Scheduled Caste and want to start a small poultry. My income is Rs 146909 and the project will cost about Rs 398298.,Yes,146909,Business,poultry,398298,378942,NA,NA,NA,NA
"My family earns 4.8 lakhs per year. I am an SC beneficiary and want to pursue MCA, which is a professional course. The fee is ₹2563162.",Yes,478698,Education,NA,2563162,2563162,Postgraduate,MCA,professional,Yes
I am an SC beneficiary. My family income is 134507 rupees. I want to start a repair shop business and need a loan of 421473 rupees.,Yes,134507,Business,repair shop,495418,421473,NA,NA,NA,NA
I belong to Scheduled Caste and want to start a small grocery shop. My income is 2.9 lakhs and the project will cost about 5.0 lakh.,Yes,286232,Business,grocery shop,502307,405858,NA,NA,NA,NA
I belong to Scheduled Caste and want to start a small small manufacturing. My income is 314338 rupees and the project will cost about 3.7 lakhs.,Yes,314338,Business,small manufacturing,368121,295773,NA,NA,NA,NA
I am from SC category and want financial help for my poultry. The total project cost is 4.4 lakh and I need 380655 rupees as loan. My annual income is 328294 rupees.,Yes,328294,Business,poultry,441211,380655,NA,NA,NA,NA
"I need a loan to study BTech. I am an SC student, my income is ₹385193, and the course fee is 1008821 rupees.",Yes,385193,Education,NA,1008821,1008821,Graduate,BTech,technical,Yes
I belong to the SC category. I want an education loan for BCA. My annual family income is Rs 354045 and I need around ₹353139.,Yes,354045,Education,NA,2270417,353139,Graduate,BCA,management,Yes
"My family earns Rs 364657 per year. I am an SC beneficiary and want to pursue MCA, which is a professional course. The fee is 20.2 lakh.",Yes,364657,Education,NA,2019909,2019909,Graduate,MCA,professional,Yes
I belong to Scheduled Caste and want to start a small small manufacturing. My income is 3.4 lakh and the project will cost about 2.3 lakhs.,Yes,339736,Business,small manufacturing,225512,136397,NA,NA,NA,NA
I am from Scheduled Caste and want financial assistance for my BTech course. My family income is 140363 rupees and I require Rs 3143315.,Yes,140363,Education,NA,3322735,3143315,12th,BTech,technical,Yes
My family earns around 1.5 lakh per year. I belong to the SC community and want to start a service business. I need around ₹294889.,Yes,146812,Business,service business,384410,294889,NA,NA,NA,NA
"I need a loan to study BCA. I am an SC student, my income is 3.8 lakhs, and the course fee is 23.8 lakhs.",Yes,377648,Education,NA,2379757,2379757,Graduate,BCA,professional,Yes
"My family earns Rs 261130 per year. I am an SC beneficiary and want to pursue MBA, which is a medical course. The fee is Rs 1976039.",Yes,261130,Education,NA,1976039,1976039,12th,MBA,medical,Yes
I am an SC student and my family income is ₹164600. I want to study BTech. My course fee is 27.9 lakhs and I need a loan of ₹2787087.,Yes,164600,Education,NA,2787087,2787087,12th,BTech,professional,Yes
